City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Esperance,TT,20,1554148855,49,10.24,-61.45,89.6,14.99
Bati,ET,32,1554149890,66,11.19,40.02,70.27,4.5
Auki,NG,0,1554149890,22,12.18,6.51,79.81,8.08
East Haddam,US,1,1554149886,22,41.45,-72.46,46.0,16.11
Kutum,SD,0,1554149891,26,14.2,24.66,64.15,7.85
Manokwari,ID,44,1554149891,100,-0.87,134.08,80.98,11.59
Albany,US,20,1554149050,25,42.65,-73.75,42.01,19.46
Hilo,US,1,1554149062,61,19.71,-155.08,80.01,5.06
Tasiilaq,GL,90,1554144600,68,65.61,-37.64,24.8,9.17
Valdivia,CL,0,1554145200,59,-39.81,-73.25,66.2,8.05
Bethel,US,75,1554144960,69,60.79,-161.76,39.2,3.36
Canico,PT,40,1554149487,63,32.63,-16.85,60.8,2.24
Darnah,LY,0,1554149892,99,32.77,22.64,60.46,8.57
Kungurtug,RU,0,1554149432,66,50.6,97.53,9.43,2.48
Saint-Philippe,CA,1,1554149270,37,45.36,-73.48,37.0,8.05
Atuona,PF,76,1554149316,100,-9.8,-139.03,80.35,10.36
Nouadhibou,MR,0,1554145200,72,20.93,-17.03,68.0,13.87
Lebu,ET,75,1554148800,63,8.96,38.73,62.6,6.93
Banjar,ID,64,1554149388,95,-7.37,108.54,71.08,2.53
Tymovskoye,RU,80,1554149409,82,50.85,142.66,20.5,5.1
Chokurdakh,RU,0,1554149356,67,70.62,147.9,-0.66,4.32
Kaitangata,NZ,92,1554149240,82,-46.28,169.85,46.0,1.99
Shkurinskaya,RU,92,1554149894,80,46.58,39.36,47.68,6.22
Katsuura,JP,20,1554145200,69,33.93,134.5,37.4,3.36
Katherine,AU,8,1554147000,77,-14.47,132.26,68.0,4.7
Sakaiminato,JP,75,1554148997,74,35.55,133.23,37.4,6.93
High Prairie,CA,32,1554149894,59,55.43,-116.48,40.66,7.85
Port Alfred,ZA,92,1554148770,81,-33.59,26.89,63.0,5.01
Bonthe,SL,32,1554149400,79,7.53,-12.5,83.95,4.83
Atocha,EC,75,1554149740,63,-1.22,-78.6,71.6,13.87
Omboue,GA,32,1554149895,98,-1.57,9.26,84.58,11.81
Abu Zabad,SD,0,1554149895,26,12.35,29.25,69.28,9.35
Hofn,IS,90,1554145200,100,64.25,-15.21,33.8,10.29
Tommot,RU,0,1554149896,68,58.97,126.27,6.01,2.37
Nome,US,90,1554149341,41,30.04,-94.42,60.8,10.29
Diffa,NE,32,1554149896,16,13.32,12.61,83.41,11.65
Flinders,AU,0,1554149107,93,-34.58,150.85,57.99,8.05
Lalmohan,BD,12,1554149896,90,22.34,90.74,79.81,8.12
Chalus,IR,90,1554145200,100,36.66,51.42,46.4,1.36
Sibolga,ID,64,1554149322,100,1.74,98.78,68.11,1.97
Shumskiy,RU,8,1554149897,88,54.83,99.13,25.81,3.09
Leningradskiy,RU,64,1554149325,96,69.38,178.42,15.73,12.59
Pamekasan,ID,56,1554149667,100,-7.16,113.47,78.1,5.77
Vary,UA,36,1554149759,49,48.12,22.71,50.0,9.17
Batsfjord,NO,20,1554148200,86,70.63,29.72,30.2,25.28
Hoima,UG,12,1554149898,90,1.43,31.35,65.95,2.59
Naze,NG,76,1554149317,90,5.43,7.07,77.38,6.51
Hualmay,PE,32,1554149369,71,-11.1,-77.61,73.87,6.11
Kendari,ID,20,1554149898,94,-3.99,122.52,71.62,2.37
Oudtshoorn,ZA,0,1554148800,71,-33.59,22.2,57.2,5.82
Coquimbo,CL,75,1554145200,72,-29.95,-71.34,64.4,9.17
Les Trois-Ilets,MQ,40,1554147000,58,14.54,-61.04,84.2,16.11
Fortuna,ES,75,1554149182,82,38.18,-1.13,60.01,5.82
Makali,SL,36,1554149899,86,8.63,-11.66,77.11,4.38
Ribeira Grande,PT,40,1554147000,71,38.52,-28.7,57.2,16.11
Waingapu,ID,8,1554149565,98,-9.65,120.26,69.01,2.98
Biak,ID,32,1554149584,100,-0.91,122.88,76.57,3.27
Yellowknife,CA,40,1554149092,57,62.45,-114.38,21.2,23.04
Koundara,GN,0,1554149900,41,12.49,-13.3,88.9,5.39
Cooma,AU,75,1554147000,100,-36.24,149.13,39.2,8.05
Dingle,PH,24,1554149544,91,11.0,122.67,74.32,11.03
Kahului,US,20,1554149081,65,20.89,-156.47,80.6,5.82
Nurota,UZ,12,1554149901,70,40.56,65.69,48.13,16.13
Noumea,NC,0,1554147000,93,-22.28,166.46,66.2,9.01
Cortez,US,1,1554149812,31,37.35,-108.58,53.01,4.7
Isangel,VU,80,1554149358,100,-19.55,169.27,79.9,12.77
Enumclaw,US,75,1554149839,42,47.2,-121.99,68.0,8.05
Tornio,FI,0,1554149741,47,61.12,27.27,37.4,10.29
Kodiak,US,1,1554149318,9,39.95,-94.76,57.0,16.11
Mujiayingzi,CN,8,1554149902,53,42.12,118.78,19.51,2.71
Chitral,PK,12,1554149903,83,35.85,71.79,12.13,1.36
Yakeshi,CN,0,1554149903,57,49.28,120.73,4.03,3.09
Hokitika,NZ,20,1554149636,100,-42.72,170.96,57.49,8.86
Broome,GB,0,1554149295,87,52.47,1.45,48.0,4.7
Ust-Karsk,RU,0,1554149903,69,52.71,118.82,10.06,2.37
Avanigadda,IN,0,1554149903,92,16.02,80.92,78.37,7.11
Clarence Town,AU,90,1554148838,100,-32.59,151.78,62.01,5.82
Bay Roberts,CA,75,1554148915,72,47.58,-53.28,59.0,28.86
Longyearbyen,NO,20,1554144600,60,78.22,15.63,10.4,11.41
Asyut,EG,0,1554145200,50,27.18,31.19,57.2,9.17
Novikovo,UA,12,1554149904,98,45.05,34.56,36.16,3.27
Cabinda,AO,20,1554145200,70,-5.56,12.19,84.2,4.7
Grootfontein,NA,64,1554149905,86,-19.56,18.1,62.8,2.82
Lata,IN,0,1554149905,60,30.78,78.62,41.29,2.82
Mahebourg,MU,20,1554149342,83,-20.41,57.7,75.2,3.36
Kawerau,NZ,0,1554149823,88,-38.09,176.7,63.0,1.01
Rocha,UY,20,1554149906,69,-34.48,-54.34,75.76,4.38
Sao Joao da Barra,BR,75,1554145200,65,-21.64,-41.05,78.8,13.87
Kibala,TD,20,1554145200,34,9.11,18.35,95.0,6.85
San Policarpo,PH,92,1554149375,100,12.18,125.51,75.58,8.86
Soloneshnoye,RU,12,1554149907,79,51.65,84.32,26.35,2.19
Okhotsk,RU,8,1554149540,86,59.36,143.24,18.88,7.56
Maryville,US,1,1554149484,9,40.35,-94.87,57.2,16.11
Umm Lajj,SA,0,1554149645,100,25.02,37.27,57.13,5.1
Imbituba,BR,20,1554145200,65,-28.24,-48.67,82.4,6.93
Banda Aceh,ID,68,1554149907,99,5.56,95.32,75.31,2.19
Angoche,MZ,20,1554149435,100,-16.23,39.91,79.36,9.42
Mahon,IE,75,1554147000,75,51.89,-8.4,46.4,10.29
Bubaque,GW,0,1554149390,95,11.28,-15.83,82.06,11.03
Middle Island,US,20,1554149905,30,40.88,-72.94,46.99,11.41
Nezhinka,RU,0,1554147000,69,51.77,55.37,32.0,2.24
Falam,MM,92,1554149908,93,22.91,93.68,59.56,0.85
Marawi,PH,56,1554148883,90,8.0,124.29,73.99,4.0
Bela,PK,8,1554149729,49,26.23,66.31,60.37,1.07
Kingori,TZ,20,1554145200,65,-3.38,37.02,78.8,11.41
Quimperle,FR,12,1554149902,93,47.87,-3.55,55.0,6.93
Provideniya,RU,24,1554149055,100,64.42,-173.23,28.24,10.92
Smolyaninovo,RU,0,1554147000,85,43.29,132.46,15.8,2.59
Yar-Sale,RU,12,1554149433,74,66.83,70.83,13.48,4.09
Rodrigues Alves,BR,75,1554145200,66,-7.74,-72.65,87.8,9.17
Ostrovnoy,RU,88,1554149375,85,68.05,39.51,21.13,14.27
Nikolskoye,RU,0,1554148836,69,59.7,30.79,36.0,8.95
Kenai,US,1,1554148924,69,60.55,-151.26,46.0,2.53
Namatanai,PG,44,1554149426,100,-3.66,152.44,81.88,9.91
Killybegs,IE,90,1554149824,93,54.63,-8.45,42.8,12.75
Pantai Remis,MY,75,1554145200,94,4.46,100.63,77.0,3.27
Puerto Carreno,CO,40,1554145200,44,6.19,-67.49,96.8,3.36
Tiksi,RU,8,1554149337,69,71.64,128.87,4.48,2.53
Dikson,RU,80,1554149325,99,73.51,80.55,26.8,24.63
Alyangula,AU,75,1554145200,94,-13.85,136.42,77.0,14.27
Iqaluit,CA,20,1554148938,71,63.75,-68.52,6.8,4.7
Formosa,AR,90,1554145200,78,-26.19,-58.17,73.4,9.17
Minot,US,75,1554149885,39,48.23,-101.3,46.4,21.92
Gamba,CN,36,1554149381,77,28.28,88.52,2.86,1.59
Novyy Urengoy,RU,88,1554149912,84,66.08,76.63,21.49,10.76
Nishihara,JP,20,1554149617,80,35.74,139.53,41.0,9.17
Port Moresby,PG,20,1554148800,100,-9.47,147.16,73.4,5.82
Buala,SB,92,1554149559,98,-8.15,159.59,80.26,5.88
Phonhong,LA,80,1554149600,100,18.5,102.42,70.99,2.53
East London,ZA,32,1554149059,100,-33.02,27.91,66.31,24.34
Gangoh,IN,0,1554149913,75,29.78,77.26,61.09,2.82
Biritiba-Mirim,BR,40,1554149705,48,-23.57,-46.04,82.4,6.93
Lavrentiya,RU,44,1554149401,100,65.58,-170.99,26.26,1.97
Berdychiv,UA,0,1554149914,53,49.89,28.58,34.99,11.81
Belaya Gora,RU,8,1554149677,69,68.54,146.19,-1.56,5.5
San Fernando,TT,20,1554149792,49,10.28,-61.46,89.6,14.99
Kulhudhuffushi,MV,64,1554149119,100,6.62,73.07,82.15,2.59
San Cristobal,EC,75,1554148812,64,-0.39,-78.55,68.0,16.11
Norrtalje,SE,0,1554149915,51,59.76,18.7,37.4,9.17
Were Ilu,ET,12,1554149915,94,10.6,39.43,49.93,1.36
Westport,IE,20,1554149292,90,53.8,-9.52,41.0,3.0
Tautira,PF,75,1554148959,66,-17.73,-149.15,87.8,12.75
Alice Springs,AU,0,1554147000,37,-23.7,133.88,50.0,3.36
Sinop,TR,92,1554149916,96,42.03,35.15,47.5,17.07
Christchurch,NZ,24,1554148986,87,-43.53,172.64,51.01,3.36
Kholodnyy,RU,64,1554149916,72,62.72,147.95,3.58,3.09
Darovskoy,RU,0,1554149916,96,58.77,47.96,28.69,6.29
Paamiut,GL,92,1554149136,100,61.99,-49.67,29.95,24.23
Manoel Urbano,BR,24,1554149917,64,-8.84,-69.26,88.9,2.59
General Salgado,BR,44,1554149917,70,-20.65,-50.36,83.68,3.09
Aleksandrovsk-Sakhalinskiy,RU,80,1554149896,87,50.9,142.16,23.83,11.65
Gat,SN,0,1554147000,60,14.69,-16.54,71.6,18.34
Mar del Plata,AR,64,1554149362,52,-46.43,-67.52,69.46,24.4
Jaypur,IN,0,1554149424,68,23.05,87.44,82.0,2.75
Viransehir,TR,92,1554149918,96,37.24,39.76,49.66,7.4
Kamaishi,JP,0,1554149918,88,39.28,141.86,26.35,5.21
Lufilufi,WS,20,1554149558,78,-13.87,-171.6,86.0,3.36
Tokmak,UA,92,1554149918,58,47.26,35.7,55.15,16.46
Kiunga,PG,88,1554149919,97,-6.12,141.3,72.25,1.25
Pangnirtung,CA,20,1554145200,65,66.15,-65.72,6.8,2.24
Petropavlovsk-Kamchatskiy,RU,40,1554147000,92,53.05,158.65,28.4,4.47
Bima,ID,0,1554149919,100,-8.45,118.73,71.98,2.82
Zeerust,ZA,64,1554148800,53,-25.54,26.07,73.4,3.36
Erzin,TR,40,1554148200,82,36.95,36.2,55.4,6.93
Balikpapan,ID,36,1554149920,100,-1.24,116.86,77.56,4.83
Souillac,FR,0,1554149795,67,45.6,-0.6,57.2,1.12
Campbeltown,GB,92,1554149809,87,55.43,-5.61,44.6,18.34
Sarai,IN,20,1554145200,78,25.78,85.28,73.4,5.82
Mayo,CA,5,1554145200,48,63.59,-135.9,42.8,4.7
Kudahuvadhoo,MV,76,1554149921,100,2.67,72.89,83.23,3.6
Port Hedland,AU,0,1554147000,94,-20.31,118.58,73.4,4.7
Lala,PH,12,1554149921,89,7.97,123.75,72.7,3.87
Alofi,NU,40,1554145200,78,-19.06,-169.92,78.8,6.93
Labuhan,ID,24,1554149323,97,-2.54,115.51,71.35,2.19
Durango,US,1,1554149712,31,37.28,-107.88,54.0,4.7
Chuy,UY,20,1554149397,80,-33.69,-53.46,73.33,8.23
Airai,TL,24,1554149373,89,-8.93,125.41,66.94,1.25
Seoul,KR,1,1554147600,79,37.57,126.98,33.8,2.24
Te Anau,NZ,88,1554149340,97,-45.41,167.72,41.83,3.49
Panguipulli,CL,0,1554149809,59,-39.64,-72.33,68.0,8.05
Morros,BR,75,1554145200,100,-2.87,-44.04,75.2,6.93
Hasaki,JP,75,1554149076,93,35.73,140.83,35.6,4.7
Henties Bay,NA,0,1554148932,84,-22.12,14.28,62.01,5.01
Whitecourt,CA,75,1554145200,42,54.14,-115.68,44.6,20.8
Vengerovo,RU,0,1554149924,88,55.68,76.74,28.51,14.94
Oriximina,BR,48,1554149804,75,-1.77,-55.87,85.3,2.48
Brae,GB,92,1554148200,75,60.4,-1.35,42.8,23.04
Saint-Louis,CH,36,1554149887,71,47.59,7.56,55.4,1.12
Samarai,PG,92,1554149604,100,-10.62,150.67,77.38,19.04
Atar,MR,0,1554149393,34,20.52,-13.05,65.23,2.3
Howard Springs,AU,90,1554149693,88,-12.5,131.05,82.4,2.24
Istok,PL,0,1554149778,66,52.66,23.48,37.0,6.06
Vermillion,US,40,1554149643,56,42.78,-96.93,48.2,5.82
Hami,CN,36,1554149606,68,42.84,93.51,45.88,5.55
Mackenzie,CA,1,1554145200,45,55.34,-123.09,42.8,9.17
Kindu,CD,64,1554149926,83,-2.95,25.92,76.12,3.53
Guymon,US,40,1554149568,41,36.68,-101.48,59.0,12.75
Eyl,SO,80,1554149334,100,7.98,49.82,75.85,4.27
Ambilobe,MG,8,1554149438,98,-13.19,49.05,70.99,2.71
Richards Bay,ZA,92,1554149096,82,-28.77,32.06,69.64,13.6
Wanning,AT,0,1554149911,77,48.64,13.53,50.0,9.17
Abha,SA,0,1554145200,77,18.22,42.5,64.4,11.41
Vardo,US,1,1554149316,31,39.62,-77.74,50.0,6.93
Tomatlan,MX,0,1554149719,54,19.93,-105.25,83.05,5.32
Theunissen,ZA,32,1554149927,60,-28.4,26.71,60.73,3.71
Daru,SL,20,1554149424,92,7.99,-10.85,76.12,3.76
Aykhal,RU,76,1554149928,89,65.95,111.51,28.96,6.89
Padang,ID,64,1554149928,100,-0.92,100.36,82.69,4.88
Havelock,US,75,1554149410,34,34.88,-76.9,53.01,9.17
Springfield,US,1,1554149799,39,37.22,-93.29,53.01,4.7
Komsomolskiy,RU,56,1554149359,91,67.55,63.78,25.18,16.17
Puerto Baquerizo Moreno,EC,20,1554145200,66,-0.9,-89.6,87.8,14.99
North Bend,US,90,1554149783,93,43.41,-124.22,57.0,2.98
Klaksvik,FO,68,1554146400,93,62.23,-6.59,35.6,11.41
Matara,PE,40,1554145200,54,-13.74,-72.9,59.0,2.48
Kommunisticheskiy,RU,24,1554149930,80,61.68,64.48,30.31,11.59
Porto Franco,BR,44,1554149930,93,-6.34,-47.4,78.37,3.87
Atambua,ID,56,1554149930,100,-9.11,124.89,76.66,2.3
Lauf,DE,0,1554149818,58,48.65,8.13,59.0,9.17
Ahipara,NZ,48,1554149541,96,-35.17,173.16,65.68,12.82
Collie,AU,92,1554149843,65,-33.36,116.15,62.01,9.35
Iquique,CL,0,1554145200,53,-20.22,-70.14,73.4,16.11
Sao Felix do Xingu,BR,68,1554149325,81,-6.64,-51.99,82.96,1.97
Nakhon Nayok,TH,24,1554149254,79,14.2,101.21,79.0,1.86
Itarema,BR,48,1554149431,88,-2.92,-39.92,80.8,4.61
Touros,BR,40,1554145200,100,-5.2,-35.46,78.8,2.24
Aguadilla,PR,75,1554149928,69,18.43,-67.15,84.99,16.11
Susangerd,IR,0,1554147000,59,31.56,48.19,60.8,2.24
Schrobenhausen,DE,0,1554149826,81,48.56,11.27,51.8,6.93
Kavieng,PG,76,1554149689,100,-2.57,150.8,83.68,10.58
San Quintin,PH,0,1554149652,82,17.54,120.52,67.57,3.6
Khasan,RU,0,1554149382,100,42.43,130.64,27.61,9.24
Fairbanks,US,1,1554149228,69,64.84,-147.72,41.0,6.93
Sao Filipe,CV,0,1554149933,97,14.9,-24.5,70.81,14.56
Burnie,AU,0,1554148838,85,-41.05,145.91,50.0,4.72
Abu Kamal,SY,56,1554149408,85,34.45,40.92,51.01,9.35
Port Blair,IN,8,1554149383,100,11.67,92.75,83.68,4.32
Bridlington,GB,24,1554149795,81,54.08,-0.19,44.6,5.82
Bathsheba,BB,40,1554145200,65,13.22,-59.52,82.4,20.8
Port Lincoln,AU,0,1554149382,100,-34.72,135.86,59.65,12.77
Comodoro Rivadavia,AR,0,1554145200,40,-45.87,-67.48,71.6,12.75
Bartica,GY,40,1554145200,52,6.41,-58.62,89.6,4.61
Grindavik,IS,40,1554149215,100,63.84,-22.43,34.0,17.22
Haines Junction,CA,0,1554149878,40,60.75,-137.51,45.61,2.82
Sisimiut,GL,0,1554149696,98,66.94,-53.67,16.54,2.98
Lazaro Cardenas,MX,90,1554149414,25,28.39,-105.62,69.01,5.82
Selma,US,1,1554149929,38,36.57,-119.61,78.01,4.21
Lompoc,US,1,1554149291,33,34.64,-120.46,79.0,3.36
Cam Ranh,VN,20,1554147000,73,11.92,109.15,77.0,6.93
Hobyo,SO,0,1554149693,91,5.35,48.53,78.46,8.34
Pevek,RU,12,1554149337,73,69.7,170.27,20.77,14.34
San Jose de las Lajas,CU,75,1554149558,51,22.96,-82.15,84.2,9.17
Baker City,US,40,1554149781,41,44.77,-117.83,57.99,4.7
Atlantic Beach,US,90,1554149924,93,30.33,-81.4,60.01,23.04
Albion,US,75,1554149905,74,41.69,-98.0,59.0,3.36
Dongsheng,CN,100,1554149609,91,29.72,112.52,53.53,2.37
Tres Arroyos,AR,20,1554149937,35,-38.38,-60.28,83.23,11.32
Bambanglipuro,ID,92,1554149874,100,-7.95,110.28,72.16,2.82
Cabo San Lucas,MX,5,1554149816,36,22.89,-109.91,87.01,2.24
Maceio,BR,40,1554145200,66,-9.67,-35.74,84.2,10.29
Buin,CL,0,1554145200,36,-33.73,-70.74,78.8,5.82
Paita,PE,40,1554145200,290,-5.09,-81.11,62.6,10.25
Muncar,ID,20,1554149938,98,-8.43,114.34,78.37,3.09
Mehamn,NO,40,1554146400,80,71.03,27.85,30.2,17.22
Teguldet,RU,48,1554149443,91,57.31,88.17,28.42,5.84
Trairi,BR,76,1554149939,100,-3.28,-39.27,81.61,2.98
Ranong,TH,68,1554149634,100,9.96,98.62,82.42,3.6
Talcahuano,CL,0,1554145200,59,-36.72,-73.12,66.2,14.99
Vila Franca do Campo,PT,75,1554149052,67,37.72,-25.43,57.2,23.04
Fort Nelson,CA,75,1554145200,52,58.81,-122.69,41.0,3.31
Lorengau,PG,88,1554149388,97,-2.02,147.27,83.23,10.87
Mineiros,BR,64,1554149886,30,-17.57,-52.55,89.8,2.59
Salalah,OM,40,1554144600,74,17.01,54.1,80.6,5.82
Nabire,ID,0,1554149634,93,-3.36,135.5,66.49,2.08
Jining,CN,0,1554149940,54,35.41,116.58,39.94,9.35
Nova Olimpia,BR,24,1554149940,71,-14.8,-57.29,89.08,2.86
Muli,IN,0,1554149941,39,22.62,71.45,74.05,2.86
Azangaro,PE,75,1554145200,71,-14.91,-70.2,50.0,8.05
Ati,TD,0,1554149941,17,13.21,18.34,84.13,10.54
Talnakh,RU,92,1554149048,93,69.49,88.39,24.82,9.57
Thinadhoo,MV,56,1554149356,100,0.53,72.93,83.41,6.73
Reims,FR,0,1554149824,81,49.26,4.03,55.4,8.9
Caravelas,BR,12,1554149390,100,-17.73,-39.27,80.98,12.15
Zhaozhou,CN,8,1554149942,62,45.71,125.27,19.51,3.87
Champerico,MX,40,1554144420,40,16.38,-93.6,87.8,13.87
Salaga,GH,20,1554149942,66,8.55,-0.52,86.56,7.29
Taoudenni,ML,0,1554149596,33,22.68,-3.98,66.94,4.09
Lasa,CY,40,1554148846,87,34.92,32.53,55.4,4.7
The Pas,CA,90,1554146940,51,53.82,-101.24,39.2,14.99
Tura,IN,0,1554149073,94,25.52,90.21,62.89,4.76
Hailar,CN,0,1554149943,60,49.2,119.7,6.37,2.98
Richmond,CA,1,1554149943,76,49.16,-123.14,71.01,10.29
Oulainen,FI,0,1554149721,10,64.27,24.8,35.01,8.57
Flin Flon,CA,90,1554146760,64,54.77,-101.88,37.4,10.29
Trofors,NO,75,1554148200,93,65.54,13.39,41.0,5.82
Sistranda,NO,20,1554149400,86,63.73,8.83,37.4,10.29
Matiri,UG,12,1554149945,88,0.58,30.76,64.69,2.71
Cap Malheureux,MU,20,1554149342,83,-19.98,57.61,75.2,3.36
Keti Bandar,PK,0,1554149945,93,24.14,67.45,78.01,8.3
Dumas,IN,0,1554149886,100,21.09,72.71,79.18,15.39
